"filename", "language", "Properties", "pip requirements", "Python", "JSON", "Docker", "Markdown", "YAML", "XML", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\algeria.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\american-samoa.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 1, 49
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\anguilla.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 1, 1, 68
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\argentina.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 1, 44
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\armenia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\australia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 1, 69
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\austria.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 1, 42
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\azerbaijan.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 1, 48
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\bahrain.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\belarus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\belgium.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\bolivia.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 1, 40
"f:\pr\Stats-Production\Yobi-Frontend-master\apps\static\assets\img\flags\bosnia-and-herzegovina.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 1, 1, 52
